"State","Year","Adults who Engage in No Leisure-time Exercise (%)"
"WY",2018,9.6
"MA",2016,9.6
"NH",2020,9.6
"ID",2014,9.6
"ID",2014,9.6
"VT",2011,9.6
"MN",2012,9.6
"UT",2018,9.7
"FL",2012,9.7
"ID",2012,9.7
"CO",2011,9.7
"NV",2016,9.7
"OR",2022,9.7
"MA",2020,9.8
"CO",2017,9.8
"VT",2013,9.8
"WA",2014,9.8
"ME",2012,9.8
"NM",2016,9.8
"WA",2021,9.8
"OR",2018,9.9
"WY",2020,9.9
"WA",2020,9.9
"GA",2014,9.9
"WA",2012,9.9
"ME",2012,9.9
"VT",2015,9.9
"IA",2014,10
"CO",2015,10
"MA",2012,10
"ND",2014,10
"MN",2012,10
"NH",2014,10
"PA",2016,10
"NH",2022,10
"AZ",2014,10.1
"MT",2012,10.1
"NM",2014,10.1
"SD",2012,10.1
"WA",2015,10.1
"SD",2015,10.1
"ID",2011,10.1
"NE",2014,10.1
"CO",2013,10.1
"ME",2014,10.1
"RI",2018,10.2
"ID",2018,10.2
"RI",2020,10.2
"NH",2020,10.2
"MA",2020,10.2
"MT",2020,10.2
"OR",2014,10.2
"MN",2019,10.2
"ID",2012,10.2
"WA",2012,10.2
"VT",2016,10.2
"NH",2016,10.2
"VA",2021,10.2
"VA",2018,10.3
"VA",2020,10.3
"UT",2019,10.3
"MT",2014,10.3
"CA",2012,10.3
"OR",2011,10.3
"NC",2016,10.3
"ND",2020,10.4
"AZ",2018,10.4
"CA",2018,10.4
"ME",2018,10.4
"MN",2020,10.4
"WV",2020,10.4
"OR",2015,10.4
"WA",2014,10.4
"CA",2012,10.4
"VT",2012,10.4
"OR",2013,10.4
"CO",2021,10.4
"CO",2022,10.4
"ID",2018,10.5
"CT",2020,10.5
"CT",2020,10.5
"ID",2020,10.5
"CA",2020,10.5
"GA",2012,10.5
"GA",2014,10.5
"MN",2014,10.5
"CT",2014,10.5
"WI",2012,10.5
"MN",2014,10.5
"IA",2012,10.5
"NH",2014,10.5
"CT",2016,10.5
"MT",2016,10.5
"UT",2022,10.5
"MA",2016,10.6
"MN",2018,10.6
"WA",2018,10.6
"IA",2018,10.6
"CA",2017,10.6
"CT",2014,10.6
"PA",2012,10.6
"VT",2019,10.6
"NH",2014,10.6
"CO",2019,10.6
"MT",2014,10.6
"FL",2015,10.6
"CA",2011,10.6
"RI",2014,10.6
"MA",2012,10.6
"NE",2014,10.6
"CO",2016,10.6
"OR",2016,10.6
"SD",2021,10.6
"VT",2021,10.6
"VT",2018,10.7
"NH",2018,10.7
"MD",2020,10.7
"VA",2020,10.7
"GA",2013,10.7
"WA",2019,10.7
"NC",2012,10.7
"NM",2012,10.7
"UT",2013,10.7
"NV",2014,10.7
"OR",2013,10.7
"FL",2012,10.7
"CT",2016,10.7
"CA",2016,10.7
"NE",2020,10.8
"NJ",2020,10.8
"PA",2014,10.8
"AK",2017,10.8
"CT",2012,10.8
"CA",2011,10.8
"VT",2016,10.8
"AK",2021,10.8
"CA",2020,10.9
"SD",2020,10.9
"WA",2017,10.9
"PA",2012,10.9
"MI",2012,10.9
"AK",2012,10.9
"DE",2014,10.9
"IA",2012,10.9
"SC",2014,10.9
"ME",2014,10.9
"RI",2016,10.9
"MT",2016,10.9
"UT",2021,10.9
"KS",2020,11
"CT",2020,11
"ID",2011,11
"AZ",2014,11
"PA",2014,11
"NM",2014,11
"RI",2014,11
"WI",2011,11
"PA",2018,11.1
"ME",2020,11.1
"HI",2020,11.1
"ID",2015,11.1
"HI",2012,11.1
"OR",2014,11.1
"AK",2012,11.1
"VA",2012,11.1
"IL",2016,11.1
"NE",2016,11.1
"VA",2021,11.1
"SD",2022,11.1
"VA",2018,11.2
"NC",2020,11.2
"OR",2011,11.2
"OR",2012,11.2
"CT",2012,11.2
"WA",2019,11.2
"CA",2016,11.2
"CA",2016,11.2
"AK",2021,11.2
"LA",2021,11.2
"MA",2021,11.2
"GA",2022,11.2
"UT",2022,11.2
"CO",2018,11.3
"MI",2020,11.3
"MI",2020,11.3
"VT",2020,11.3
"NM",2020,11.3
"NE",2012,11.3
"NM",2012,11.3
"AK",2014,11.3
"RI",2012,11.3
"SC",2012,11.3
"RI",2012,11.3
"WY",2014,11.3
"NE",2012,11.3
"VT",2013,11.3
"ND",2016,11.3
"UT",2016,11.3
"OR",2021,11.3
"NH",2021,11.3
"HI",2018,11.4
"MD",2020,11.4
"NJ",2020,11.4
"ID",2020,11.4
"WA",2013,11.4
"ND",2014,11.4
"NH",2019,11.4
"CA",2015,11.4
"CA",2013,11.4
"CO",2011,11.4
"OR",2012,11.4
"VA",2016,11.4
"ME",2016,11.4
"RI",2021,11.4
"MN",2022,11.4
"MT",2022,11.4
"MN",2018,11.5
"NC",2016,11.5
"ME",2018,11.5
"VA",2020,11.5
"HI",2020,11.5
"CA",2017,11.5
"VT",2012,11.5
"GA",2012,11.5
"VT",2011,11.5
"WY",2012,11.5
"NH",2017,11.5
"VT",2019,11.5
"OH",2014,11.5
"WY",2016,11.5
"NE",2016,11.5
"UT",2016,11.5
"SD",2016,11.5
"VT",2021,11.5
"MD",2021,11.5
"TX",2018,11.6
"CA",2018,11.6
"NY",2016,11.6
"NE",2020,11.6
"WI",2020,11.6
"FL",2015,11.6
"NV",2013,11.6
"WI",2019,11.6
"UT",2012,11.6
"KS",2012,11.6
"VA",2014,11.6
"CO",2016,11.6
"AZ",2016,11.6
"AK",2016,11.6
"NH",2021,11.6
"MA",2021,11.6
"IL",2022,11.6
"OR",2022,11.6
"AK",2018,11.7
"IA",2016,11.7
"WY",2018,11.7
"RI",2020,11.7
"SD",2017,11.7
"SC",2012,11.7
"UT",2019,11.7
"WA",2015,11.7
"CT",2015,11.7
"OR",2013,11.7
"IA",2014,11.7
"CT",2016,11.7
"MN",2021,11.7
"CO",2022,11.7
"MA",2022,11.7
"VA",2022,11.7
"WY",2022,11.7
"KS",2018,11.8
"UT",2018,11.8
"MA",2018,11.8
"PA",2018,11.8
"MA",2018,11.8
"TN",2020,11.8
"NC",2020,11.8
"ME",2020,11.8
"FL",2012,11.8
"MD",2014,11.8
"WA",2017,11.8
"NC",2014,11.8
"OH",2019,11.8
"MI",2014,11.8
"SC",2014,11.8
"IN",2014,11.8
"WI",2012,11.8
"NM",2016,11.8
"PA",2016,11.8
"AR",2016,11.8
"KS",2016,11.8
"NV",2021,11.8
"WI",2021,11.8
"PA",2022,11.8
"KS",2018,11.9
"MT",2020,11.9
"HI",2020,11.9
"ME",2020,11.9
"MI",2020,11.9
"TN",2020,11.9
"NM",2017,11.9
"CA",2017,11.9
"CO",2017,11.9
"AK",2013,11.9
"FL",2014,11.9
"NM",2011,11.9
"CT",2012,11.9
"MT",2019,11.9
"AK",2014,11.9
"NV",2012,11.9
"ME",2011,11.9
"KS",2012,11.9
"NH",2019,11.9
"UT",2011,11.9
"VA",2012,11.9
"NC",2012,11.9
"UT",2011,11.9
"SD",2014,11.9
"OH",2016,11.9
"NC",2021,11.9
"AK",2018,12
"VA",2018,12
"FL",2018,12
"VT",2018,12
"VA",2013,12
"VT",2017,12
"HI",2012,12
"CA",2012,12
"DE",2012,12
"MN",2011,12
"CO",2011,12
"WI",2011,12
"SD",2015,12
"SC",2016,12
"AZ",2016,12
"RI",2016,12
"MI",2016,12
"CT",2021,12
"ID",2022,12
"NJ",2018,12.1
"NC",2018,12.1
"ME",2018,12.1
"WI",2018,12.1
"KS",2020,12.1
"NJ",2020,12.1
"NV",2012,12.1
"UT",2017,12.1
"MN",2015,12.1
"HI",2014,12.1
"CA",2011,12.1
"MT",2012,12.1
"VT",2014,12.1
"ME",2013,12.1
"OH",2012,12.1
"MI",2016,12.1
"ME",2016,12.1
"SC",2016,12.1
"VT",2016,12.1
"SC",2021,12.1
"MI",2021,12.1
"NM",2022,12.1
"NH",2016,12.2
"AZ",2018,12.2
"CT",2018,12.2
"IA",2018,12.2
"RI",2018,12.2
"VA",2020,12.2
"IA",2020,12.2
"CA",2014,12.2
"VA",2014,12.2
"MT",2019,12.2
"IA",2012,12.2
"OR",2012,12.2
"AZ",2012,12.2
"KS",2016,12.2
"VA",2021,12.2
"AZ",2021,12.2
"NC",2022,12.2
"PA",2020,12.3
"WI",2020,12.3
"MT",2015,12.3
"VA",2012,12.3
"AK",2015,12.3
"FL",2012,12.3
"MD",2014,12.3
"AK",2014,12.3
"OH",2012,12.3
"WI",2013,12.3
"IN",2014,12.3
"MD",2012,12.3
"WI",2012,12.3
"HI",2012,12.3
"OH",2016,12.3
"VA",2016,12.3
"SD",2016,12.3
"UT",2021,12.3
"VT",2021,12.3
"MD",2022,12.3
"WI",2022,12.3
"NC",2018,12.4
"MD",2018,12.4
"VT",2018,12.4
"HI",2018,12.4
"CO",2018,12.4
"IL",2018,12.4
"NM",2018,12.4
"PA",2017,12.4
"DE",2014,12.4
"IL",2012,12.4
"VT",2019,12.4
"ME",2015,12.4
"CO",2013,12.4
"WA",2013,12.4
"CA",2016,12.4
"KS",2021,12.4
"CO",2021,12.4
"TX",2021,12.4
"AK",2021,12.4
"KY",2022,12.4
"WY",2016,12.5
"ND",2018,12.5
"GA",2020,12.5
"GA",2020,12.5
"DE",2020,12.5
"HI",2020,12.5
"MI",2012,12.5
"NH",2012,12.5
"OR",2017,12.5
"VT",2015,12.5
"NM",2019,12.5
"NV",2011,12.5
"MA",2012,12.5
"UT",2012,12.5
"OR",2014,12.5
"AK",2011,12.5
"ME",2014,12.5
"NH",2015,12.5
"NM",2015,12.5
"UT",2011,12.5
"TX",2016,12.5
"OR",2016,12.5
"SD",2016,12.5
"NM",2021,12.5
"SD",2021,12.5
"SD",2021,12.5
"MT",2021,12.5
"ME",2022,12.5
"MT",2022,12.5
"NJ",2022,12.5
"VT",2018,12.6
"UT",2018,12.6
"OH",2020,12.6
"AZ",2020,12.6
"UT",2020,12.6
"UT",2017,12.6
"CO",2014,12.6
"TX",2014,12.6
"CA",2015,12.6
"OR",2015,12.6
"VT",2013,12.6
"MO",2012,12.6
"ID",2014,12.6
"NV",2011,12.6
"ID",2015,12.6
"NM",2016,12.6
"TN",2016,12.6
"NE",2021,12.6
"VT",2021,12.6
"CO",2022,12.6
"MI",2018,12.7
"NE",2018,12.7
"NH",2018,12.7
"SC",2018,12.7
"NM",2018,12.7
"TN",2016,12.7
"AK",2020,12.7
"NV",2014,12.7
"KS",2014,12.7
"MO",2012,12.7
"CA",2015,12.7
"IA",2014,12.7
"ID",2013,12.7
"TN",2014,12.7
"UT",2013,12.7
"IA",2016,12.7
"IL",2016,12.7
"MN",2016,12.7
"ID",2021,12.7
"NH",2021,12.7
"OH",2018,12.8
"AK",2012,12.8
"CA",2020,12.8
"MO",2020,12.8
"MI",2020,12.8
"WI",2017,12.8
"MO",2017,12.8
"WA",2012,12.8
"MO",2012,12.8
"OR",2017,12.8
"UT",2015,12.8
"NM",2019,12.8
"CO",2014,12.8
"MT",2019,12.8
"CO",2012,12.8
"UT",2012,12.8
"WY",2014,12.8
"NH",2013,12.8
"MN",2012,12.8
"ME",2014,12.8
"ME",2015,12.8
"KY",2011,12.8
"TX",2016,12.8
"MO",2016,12.8
"WY",2016,12.8
"UT",2016,12.8
"IA",2016,12.8
"WY",2021,12.8
"UT",2022,12.8
"PA",2016,12.9
"MD",2016,12.9
"NV",2018,12.9
"HI",2018,12.9
"CT",2020,12.9
"SC",2020,12.9
"NV",2020,12.9
"IA",2020,12.9
"WA",2012,12.9
"VA",2015,12.9
"SD",2012,12.9
"TX",2017,12.9
"MT",2015,12.9
"NH",2019,12.9
"PA",2012,12.9
"WI",2015,12.9
"WY",2014,12.9
"MA",2014,12.9
"AK",2015,12.9
"UT",2015,12.9
"MT",2013,12.9
"CO",2016,12.9
"UT",2016,12.9
"GA",2021,12.9
"MT",2021,12.9
"CO",2022,12.9
"WA",2022,12.9
"AZ",2018,13
"WA",2018,13
"IN",2020,13
"NE",2020,13
"SC",2020,13
"MT",2011,13
"AZ",2012,13
"WA",2014,13
"MD",2012,13
"UT",2015,13
"WA",2013,13
"UT",2014,13
"CO",2015,13
"CT",2019,13
"MN",2019,13
"AK",2019,13
"NY",2012,13
"NY",2014,13
"RI",2014,13
"HI",2014,13
"ME",2011,13
"ND",2016,13
"SD",2016,13
"HI",2016,13
"UT",2021,13
"IN",2021,13
"RI",2016,13.1
"IL",2018,13.1
"MI",2018,13.1
"DE",2018,13.1
"MN",2012,13.1
"CA",2012,13.1
"MN",2011,13.1
"VA",2011,13.1
"TN",2015,13.1
"HI",2016,13.1
"KY",2016,13.1
"NV",2016,13.1
"IN",2016,13.1
"AK",2021,13.1
"WA",2021,13.1
"HI",2021,13.1
"CA",2022,13.1
"CA",2022,13.1
"MT",2022,13.1
"SD",2022,13.1
"VT",2022,13.1
"ND",2018,13.2
"CT",2018,13.2
"MT",2018,13.2
"NE",2018,13.2
"DE",2020,13.2
"GA",2020,13.2
"ME",2017,13.2
"UT",2017,13.2
"VT",2012,13.2
"CO",2014,13.2
"HI",2014,13.2
"NY",2014,13.2
"IL",2014,13.2
"MN",2013,13.2
"ME",2012,13.2
"IL",2012,13.2
"TX",2012,13.2
"NJ",2014,13.2
"WY",2012,13.2
"NC",2015,13.2
"TX",2012,13.2
"MT",2016,13.2
"WA",2016,13.2
"PA",2021,13.2
"VT",2021,13.2
"AZ",2021,13.2
"NJ",2021,13.2
"ID",2022,13.2
"SD",2022,13.2
"WA",2018,13.3
"SC",2018,13.3
"MD",2018,13.3
"MI",2018,13.3
"CO",2018,13.3
"NY",2020,13.3
"AZ",2020,13.3
"CT",2014,13.3
"UT",2014,13.3
"AZ",2013,13.3
"PA",2011,13.3
"CA",2013,13.3
"KY",2014,13.3
"NM",2013,13.3
"OH",2014,13.3
"HI",2014,13.3
"ME",2014,13.3
"ND",2012,13.3
"KS",2014,13.3
"WA",2011,13.3
"ND",2014,13.3
"CO",2011,13.3
"ME",2011,13.3
"VA",2013,13.3
"SD",2012,13.3
"TN",2012,13.3
"ME",2012,13.3
"NV",2016,13.3
"CO",2021,13.3
"CA",2021,13.3
"AK",2022,13.3
"CO",2022,13.3
"CO",2022,13.3
"CT",2022,13.3
"RI",2022,13.3
"UT",2022,13.3
"WY",2018,13.4
"AK",2017,13.4
"MN",2014,13.4
"WI",2012,13.4
"ID",2012,13.4
"WA",2012,13.4
"CO",2012,13.4
"ID",2017,13.4
"HI",2014,13.4
"NM",2015,13.4
"CA",2019,13.4
"NC",2019,13.4
"CT",2019,13.4
"NH",2011,13.4
"NM",2012,13.4
"AK",2012,13.4
"WY",2012,13.4
"SD",2012,13.4
"UT",2016,13.4
"CO",2016,13.4
"CO",2021,13.4
"OH",2022,13.4
"PA",2016,13.5
"MT",2018,13.5
"ND",2018,13.5
"CA",2018,13.5
"TX",2020,13.5
"OR",2020,13.5
"MA",2020,13.5
"FL",2020,13.5
"NM",2015,13.5
"RI",2019,13.5
"WY",2019,13.5
"PA",2019,13.5
"CT",2013,13.5
"IN",2012,13.5
"PA",2013,13.5
"MI",2014,13.5
"TX",2014,13.5
"OR",2016,13.5
"NJ",2021,13.5
"WA",2021,13.5
"CA",2021,13.5
"WA",2021,13.5
"AK",2021,13.5
"SD",2021,13.5
"HI",2022,13.5
"WA",2018,13.6
"OH",2018,13.6
"TN",2018,13.6
"CO",2020,13.6
"UT",2014,13.6
"WI",2015,13.6
"CA",2011,13.6
"AK",2017,13.6
"ID",2012,13.6
"OR",2012,13.6
"CO",2015,13.6
"CA",2014,13.6
"ID",2019,13.6
"NC",2019,13.6
"NC",2013,13.6
"NM",2014,13.6
"OR",2015,13.6
"HI",2013,13.6
"SD",2013,13.6
"MO",2016,13.6
"IA",2021,13.6
"HI",2021,13.6
"MO",2021,13.6
"NJ",2022,13.6
"WA",2022,13.6
"CA",2016,13.7
"NY",2018,13.7
"OK",2018,13.7
"NH",2018,13.7
"KS",2018,13.7
"TX",2018,13.7
"ID",2020,13.7
"AL",2020,13.7
"OH",2020,13.7
"WY",2020,13.7
"CT",2017,13.7
"GA",2014,13.7
"AZ",2011,13.7
"NY",2014,13.7
"SD",2015,13.7
"AZ",2012,13.7
"NV",2017,13.7
"MD",2019,13.7
"RI",2019,13.7
"IL",2019,13.7
"NV",2014,13.7
"KS",2012,13.7
"MN",2015,13.7
"NH",2015,13.7
"AZ",2016,13.7
"MT",2016,13.7
"IN",2016,13.7
"CO",2016,13.7
"MA",2016,13.7
"CT",2022,13.7
"KS",2022,13.7
"NE",2022,13.7
"OR",2018,13.8
"AK",2018,13.8
"CT",2018,13.8
"ID",2020,13.8
"MT",2020,13.8
"IL",2020,13.8
"IN",2020,13.8
"OR",2020,13.8
"MT",2013,13.8
"SD",2012,13.8
"CO",2012,13.8
"NM",2017,13.8
"NM",2014,13.8
"CO",2017,13.8
"OR",2013,13.8
"ME",2013,13.8
"OR",2019,13.8
"VT",2014,13.8
"KS",2014,13.8
"NC",2014,13.8
"ME",2016,13.8
"MT",2016,13.8
"MD",2016,13.8
"GA",2021,13.8
"UT",2021,13.8
"MI",2022,13.8
"VT",2022,13.8
"WI",2022,13.8
"AK",2018,13.9
"GA",2018,13.9
"SC",2018,13.9
"SD",2020,13.9
"UT",2020,13.9
"MA",2020,13.9
"MT",2014,13.9
"ID",2013,13.9
"UT",2019,13.9
"NC",2011,13.9
"CA",2019,13.9
"MO",2014,13.9
"VA",2015,13.9
"HI",2012,13.9
"NM",2014,13.9
"CO",2015,13.9
"WY",2014,13.9
"WI",2015,13.9
"AK",2012,13.9
"DE",2011,13.9
"CO",2011,13.9
"WA",2013,13.9
"WI",2016,13.9
"NY",2016,13.9
"OH",2021,13.9
"HI",2022,13.9
"GA",2018,14
"CO",2018,14
"OR",2020,14
"MA",2020,14
"CO",2020,14
"TN",2020,14
"VA",2017,14
"NE",2017,14
"VT",2017,14
"IA",2014,14
"WI",2017,14
"OK",2017,14
"MD",2017,14
"MT",2011,14
"OH",2012,14
"MA",2011,14
"OR",2019,14
"IL",2014,14
"NY",2012,14
"NC",2011,14
"IN",2012,14
"CO",2013,14
"IL",2016,14
"HI",2016,14
"UT",2016,14
"SC",2021,14
"MN",2021,14
"ME",2022,14
"MO",2022,14
"CO",2018,14.1
"NV",2018,14.1
"TN",2020,14.1
"MO",2020,14.1
"VT",2020,14.1
"MA",2017,14.1
"ND",2017,14.1
"WY",2015,14.1
"MN",2013,14.1
"WY",2017,14.1
"WA",2014,14.1
"MN",2017,14.1
"SC",2012,14.1
"OK",2012,14.1
"RI",2011,14.1
"KY",2015,14.1
"SD",2014,14.1
"SD",2015,14.1
"MN",2014,14.1
"WA",2012,14.1
"OR",2012,14.1
"OK",2012,14.1
"KY",2012,14.1
"WI",2011,14.1
"OR",2015,14.1
"DE",2016,14.1
"ID",2016,14.1
"ID",2016,14.1
"VT",2016,14.1
"IL",2021,14.1
"SC",2021,14.1
"UT",2021,14.1
"WI",2021,14.1
"AR",2022,14.1
"TX",2022,14.1
"HI",2018,14.2
"NM",2018,14.2
"IN",2018,14.2
"IL",2020,14.2
"MI",2015,14.2
"NJ",2011,14.2
"IA",2017,14.2
"DE",2012,14.2
"MI",2019,14.2
"FL",2019,14.2
"CO",2011,14.2
"OR",2011,14.2
"UT",2012,14.2
"AK",2016,14.2
"MA",2021,14.2
"FL",2022,14.2
"PA",2022,14.2
"UT",2022,14.2
"VT",2022,14.2
"MO",2018,14.3
"AK",2020,14.3
"NH",2020,14.3
"UT",2020,14.3
"CO",2020,14.3
"NH",2017,14.3
"FL",2014,14.3
"VA",2017,14.3
"AZ",2011,14.3
"HI",2017,14.3
"IL",2011,14.3
"SD",2013,14.3
"NE",2019,14.3
"MA",2019,14.3
"AL",2012,14.3
"MA",2011,14.3
"MN",2013,14.3
"NJ",2012,14.3
"WI",2013,14.3
"LA",2016,14.3
"AK",2016,14.3
"ND",2016,14.3
"WI",2016,14.3
"ID",2016,14.3
"OR",2021,14.3
"TX",2021,14.3
"CO",2021,14.3
"CO",2021,14.3
"CO",2022,14.3
"HI",2022,14.3
"NC",2022,14.3
"OR",2022,14.3
"UT",2022,14.3
"UT",2022,14.3
"SC",2018,14.4
"UT",2018,14.4
"TX",2018,14.4
"MA",2020,14.4
"PA",2020,14.4
"NY",2020,14.4
"ND",2020,14.4
"ID",2017,14.4
"AK",2012,14.4
"RI",2017,14.4
"MT",2017,14.4
"KY",2012,14.4
"IL",2012,14.4
"CT",2015,14.4
"KY",2011,14.4
"ID",2019,14.4
"AK",2013,14.4
"HI",2011,14.4
"MD",2015,14.4
"PA",2014,14.4
"IA",2015,14.4
"IA",2015,14.4
"AK",2014,14.4
"MI",2011,14.4
"MT",2012,14.4
"OK",2016,14.4
"WV",2016,14.4
"NY",2016,14.4
"LA",2021,14.4
"SD",2021,14.4
"IN",2022,14.4
"UT",2022,14.4
"WV",2022,14.4
"NM",2016,14.5
"NC",2018,14.5
"OR",2016,14.5
"FL",2018,14.5
"VA",2018,14.5
"SD",2018,14.5
"CT",2020,14.5
"PA",2020,14.5
"OR",2020,14.5
"WY",2020,14.5
"MA",2020,14.5
"WA",2020,14.5
"IA",2017,14.5
"WI",2017,14.5
"UT",2014,14.5
"NJ",2014,14.5
"CO",2014,14.5
"MA",2017,14.5
"WI",2014,14.5
"CO",2011,14.5
"IL",2017,14.5
"AR",2014,14.5
"PA",2019,14.5
"NV",2019,14.5
"CA",2013,14.5
"OH",2014,14.5
"KY",2014,14.5
"WA",2011,14.5
"NJ",2014,14.5
"UT",2012,14.5
"ND",2012,14.5
"NH",2014,14.5
"WY",2013,14.5
"NM",2011,14.5
"OR",2014,14.5
"NE",2012,14.5
"NE",2016,14.5
"TX",2016,14.5
"TN",2021,14.5
"UT",2021,14.5
"VT",2021,14.5
"AZ",2022,14.5
"MD",2022,14.5
"VA",2022,14.5
"WI",2020,14.6
"SD",2018,14.6
"OR",2018,14.6
"PA",2018,14.6
"TN",2020,14.6
"CO",2020,14.6
"CA",2017,14.6
"NC",2017,14.6
"SC",2012,14.6
"UT",2012,14.6
"NE",2012,14.6
"NC",2015,14.6
"CA",2011,14.6
"FL",2011,14.6
"TN",2012,14.6
"NC",2015,14.6
"GA",2013,14.6
"CO",2014,14.6
"VA",2015,14.6
"UT",2016,14.6
"SD",2016,14.6
"WA",2016,14.6
"WI",2021,14.6
"ME",2021,14.6
"CA",2021,14.6
"UT",2022,14.6
"UT",2016,14.7
"KY",2018,14.7
"WV",2018,14.7
"ND",2018,14.7
"VT",2018,14.7
"ND",2020,14.7
"OR",2020,14.7
"NM",2020,14.7
"FL",2016,14.7
"ME",2013,14.7
"NH",2013,14.7
"AZ",2015,14.7
"NM",2012,14.7
"LA",2014,14.7
"UT",2014,14.7
"MT",2019,14.7
"MI",2019,14.7
"NJ",2012,14.7
"SC",2015,14.7
"ID",2013,14.7
"NV",2012,14.7
"CO",2012,14.7
"UT",2014,14.7
"NV",2014,14.7
"ME",2016,14.7
"MO",2016,14.7
"DE",2016,14.7
"TX",2016,14.7
"WA",2016,14.7
"OR",2021,14.7
"UT",2021,14.7
"UT",2021,14.7
"MO",2021,14.7
"VT",2021,14.7
"IA",2022,14.7
"MT",2022,14.7
"ND",2022,14.7
"OR",2022,14.7
"TN",2018,14.8
"WV",2018,14.8
"DE",2018,14.8
"NY",2018,14.8
"HI",2020,14.8
"ME",2020,14.8
"UT",2020,14.8
"UT",2020,14.8
"MN",2020,14.8
"PA",2017,14.8
"MN",2013,14.8
"IA",2017,14.8
"CA",2017,14.8
"MT",2015,14.8
"NJ",2017,14.8
"OH",2017,14.8
"AZ",2013,14.8
"WI",2014,14.8
"AZ",2019,14.8
"CO",2019,14.8
"AL",2014,14.8
"TX",2019,14.8
"NM",2015,14.8
"WY",2012,14.8
"HI",2012,14.8
"CA",2015,14.8
"CO",2014,14.8
"ID",2011,14.8
"ND",2012,14.8
"NV",2015,14.8
"UT",2013,14.8
"RI",2013,14.8
"MN",2012,14.8
"FL",2016,14.8
"OH",2016,14.8
"CO",2016,14.8
"HI",2021,14.8
"CO",2021,14.8
"WY",2020,14.9
"AK",2020,14.9
"DE",2014,14.9
"NE",2013,14.9
"DE",2012,14.9
"SC",2011,14.9
"WA",2017,14.9
"NH",2014,14.9
"NM",2011,14.9
"IA",2019,14.9
"SD",2014,14.9
"MD",2013,14.9
"NE",2014,14.9
"NH",2015,14.9
"IL",2012,14.9
"MA",2013,14.9
"CO",2011,14.9
"WY",2013,14.9
"IL",2013,14.9
"IL",2015,14.9
"CO",2014,14.9
"CO",2012,14.9
"ME",2013,14.9
"GA",2014,14.9
"MI",2016,14.9
"MN",2016,14.9
"CO",2021,14.9
"NM",2021,14.9
"KY",2022,14.9
"MD",2022,14.9
"WA",2022,14.9
"MT",2018,15
"MO",2018,15
"LA",2018,15
"NY",2018,15
"WA",2018,15
"ID",2020,15
"PA",2015,15
"AZ",2011,15
"OR",2012,15
"WV",2014,15
"VA",2019,15
"GA",2011,15
"VA",2019,15
"GA",2019,15
"UT",2011,15
"NH",2013,15
"FL",2019,15
"AZ",2019,15
"NC",2019,15
"NH",2014,15
"LA",2012,15
"MA",2013,15
"SC",2015,15
"CO",2011,15
"AR",2012,15
"GA",2016,15
"VA",2016,15
"AL",2016,15
"NC",2016,15
"CA",2021,15
"SD",2021,15
"TN",2021,15
"WV",2021,15
"NV",2021,15
"MA",2021,15
