"State","Year","Obese Adults (%)"
"CA",2016,9.6
"WA",2021,9.6
"MI",2022,9.6
"CA",2017,9.7
"NM",2013,9.7
"NM",2011,9.7
"TX",2015,9.7
"MI",2019,9.7
"DE",2019,9.7
"WA",2018,9.8
"OR",2018,9.8
"RI",2017,9.8
"CO",2013,9.8
"NY",2016,9.9
"NE",2019,9.9
"DE",2012,9.9
"NY",2011,9.9
"IA",2020,10
"OR",2013,10
"CT",2017,10
"TX",2018,10.1
"GA",2020,10.1
"MA",2017,10.1
"MO",2017,10.1
"KS",2019,10.1
"CT",2015,10.1
"CA",2015,10.1
"NV",2018,10.2
"IL",2018,10.2
"MA",2020,10.2
"CO",2011,10.2
"VA",2013,10.2
"NJ",2011,10.2
"UT",2015,10.2
"MA",2013,10.2
"IL",2022,10.2
"NJ",2017,10.3
"MD",2015,10.3
"CA",2012,10.3
"WA",2015,10.3
"NJ",2021,10.3
"RI",2020,10.4
"MA",2013,10.4
"MT",2013,10.4
"IN",2014,10.4
"NJ",2013,10.4
"IN",2021,10.4
"MA",2022,10.4
"TX",2011,10.5
"MD",2019,10.5
"IL",2017,10.6
"MN",2015,10.6
"MD",2014,10.6
"FL",2017,10.6
"MA",2015,10.6
"MA",2014,10.6
"PA",2021,10.6
"IL",2021,10.6
"ID",2018,10.7
"NJ",2020,10.7
"ND",2011,10.7
"NJ",2015,10.7
"FL",2011,10.7
"DE",2014,10.7
"MD",2013,10.7
"VA",2022,10.7
"MO",2020,10.8
"RI",2015,10.8
"RI",2018,10.9
"CT",2018,10.9
"CA",2018,10.9
"NH",2020,10.9
"CO",2014,10.9
"KS",2015,10.9
"IA",2022,10.9
"NC",2012,11
"KS",2012,11
"NV",2015,11
"OH",2011,11
"VT",2013,11
"KS",2021,11
"KS",2022,11
"CT",2019,11.1
"NY",2013,11.1
"KS",2014,11.1
"UT",2021,11.1
"CO",2015,11.2
"CT",2015,11.2
"OH",2011,11.2
"NV",2013,11.2
"MD",2012,11.2
"NH",2016,11.2
"UT",2017,11.3
"OH",2019,11.3
"UT",2013,11.3
"CO",2013,11.3
"MA",2021,11.3
"MN",2013,11.4
"CT",2014,11.4
"NV",2015,11.4
"IL",2016,11.5
"CA",2020,11.5
"MD",2014,11.5
"VA",2011,11.5
"MN",2016,11.5
"MT",2018,11.6
"MI",2014,11.6
"AZ",2022,11.6
"WA",2019,11.7
"TX",2019,11.7
"MN",2012,11.7
"IL",2011,11.8
"CO",2012,11.8
"NY",2014,11.8
"OR",2015,11.9
"RI",2013,11.9
"HI",2013,11.9
"AZ",2016,11.9
"WY",2018,12
"NJ",2018,12
"CO",2018,12
"MD",2020,12
"GA",2013,12
"CO",2019,12
"FL",2012,12.1
"MA",2019,12.1
"NJ",2011,12.1
"NE",2022,12.1
"GA",2018,12.2
"SC",2014,12.2
"NY",2017,12.2
"IL",2019,12.2
"UT",2012,12.2
"CA",2012,12.2
"CA",2013,12.2
"MD",2015,12.2
"NV",2012,12.2
"MD",2022,12.2
"NJ",2018,12.3
"OH",2020,12.3
"VA",2020,12.3
"NY",2017,12.3
"NJ",2011,12.3
"VA",2015,12.3
"NM",2013,12.3
"FL",2013,12.3
"RI",2022,12.3
"CT",2018,12.4
"NY",2018,12.4
"VA",2013,12.4
"WA",2011,12.4
"TN",2021,12.4
"TX",2021,12.4
"NJ",2022,12.4
"WA",2022,12.5
"NY",2019,12.5
"CA",2022,12.5
"SD",2018,12.6
"DE",2018,12.6
"WI",2020,12.6
"AK",2013,12.6
"WY",2011,12.6
"MN",2014,12.6
"VT",2014,12.6
"NJ",2012,12.6
"VA",2016,12.6
"OH",2021,12.6
"FL",2020,12.7
"CT",2020,12.7
"MA",2020,12.7
"CA",2017,12.7
"NV",2014,12.7
"WA",2013,12.7
"GA",2019,12.7
"NY",2015,12.7
"OR",2012,12.7
"NY",2012,12.7
"NY",2016,12.7
"OH",2016,12.7
"TX",2022,12.7
"MD",2018,12.8
"NH",2013,12.8
"FL",2014,12.8
"PA",2015,12.8
"CO",2016,12.8
"MA",2021,12.8
"CO",2022,12.8
"ME",2017,12.9
"OR",2012,12.9
"RI",2011,12.9
"NE",2013,12.9
"MT",2015,12.9
"UT",2011,12.9
"NH",2021,12.9
"MA",2018,13
"MA",2011,13
"CO",2017,13
"AZ",2011,13
"WY",2017,13
"VT",2015,13
"PA",2015,13
"OR",2022,13
"MN",2015,13.1
"CO",2017,13.1
"CT",2014,13.1
"UT",2011,13.1
"IL",2014,13.1
"FL",2012,13.1
"MA",2012,13.1
"RI",2016,13.1
"KS",2017,13.2
"FL",2015,13.2
"NH",2011,13.2
"CA",2019,13.2
"OR",2021,13.2
"NY",2021,13.2
"NH",2020,13.3
"AR",2017,13.3
"UT",2017,13.3
"RI",2014,13.3
"ID",2012,13.3
"UT",2019,13.3
"NJ",2014,13.3
"UT",2014,13.3
"CA",2014,13.3
"VA",2018,13.4
"NE",2015,13.4
"OR",2014,13.4
"AZ",2013,13.4
"CT",2016,13.4
"RI",2021,13.4
"CT",2022,13.4
"OH",2022,13.5
"NJ",2020,13.6
"IL",2017,13.6
"NH",2014,13.6
"IL",2012,13.6
"CA",2015,13.6
"WA",2015,13.6
"TN",2011,13.6
"CT",2021,13.6
"RI",2012,13.7
"NH",2016,13.7
"HI",2014,13.8
"NY",2014,13.8
"CO",2021,13.8
"CA",2022,13.8
"OR",2020,13.9
"IN",2017,13.9
"UT",2012,13.9
"TX",2012,13.9
"VA",2012,13.9
"HI",2016,13.9
"IL",2020,14
"OH",2012,14
"OR",2011,14
"NV",2011,14
"AK",2014,14
"GA",2012,14
"MA",2022,14
"NV",2016,14.1
"WI",2015,14.1
"HI",2014,14.1
"FL",2013,14.1
"MT",2012,14.1
"HI",2015,14.1
"HI",2012,14.1
"MN",2012,14.2
"MT",2017,14.2
"DE",2011,14.2
"NH",2015,14.2
"NJ",2016,14.2
"AZ",2021,14.2
"MT",2020,14.3
"GA",2017,14.3
"VT",2017,14.3
"WA",2012,14.3
"CA",2013,14.3
"FL",2016,14.3
"AZ",2018,14.4
"IA",2016,14.4
"CO",2020,14.4
"NE",2013,14.4
"WI",2013,14.4
"CA",2017,14.4
"AZ",2019,14.4
"ME",2012,14.4
"IA",2011,14.4
"NJ",2013,14.4
"AZ",2016,14.4
"FL",2018,14.5
"SD",2011,14.5
"CA",2011,14.5
"MA",2016,14.5
"CA",2016,14.5
"NJ",2022,14.5
"AZ",2020,14.6
"KY",2014,14.6
"WY",2012,14.6
"NE",2016,14.6
"VT",2022,14.7
"NE",2011,14.7
"MO",2012,14.7
"IN",2012,14.7
"TN",2012,14.7
"ME",2014,14.7
"OK",2011,14.7
"MN",2011,14.7
"CO",2015,14.7
"NV",2018,14.8
"MD",2020,14.8
"ME",2011,14.8
"AZ",2013,14.8
"MI",2012,14.8
"WI",2016,14.8
"IA",2021,14.8
"OR",2018,14.9
"TX",2017,14.9
"PA",2013,14.9
"NH",2012,14.9
"FL",2016,14.9
"SD",2016,15
"FL",2020,15
"ME",2011,15
"VT",2012,15
"NV",2014,15
"VT",2019,15
"HI",2013,15
"NC",2015,15
"IA",2014,15
"GA",2011,15
"CO",2022,15
"CA",2015,15.1
"ME",2013,15.1
"NE",2015,15.1
"AK",2016,15.1
"CA",2016,15.1
"VA",2021,15.1
"IN",2018,15.2
"WA",2018,15.2
"CA",2018,15.2
"VT",2020,15.2
"MN",2020,15.2
"MN",2017,15.2
"KS",2014,15.2
"HI",2014,15.2
"MA",2019,15.2
"HI",2011,15.2
"KS",2016,15.2
"UT",2018,15.3
"NJ",2017,15.3
"OR",2011,15.3
"CA",2011,15.3
"CO",2015,15.3
"FL",2014,15.3
"TX",2020,15.4
"OK",2017,15.4
"MD",2013,15.4
"WA",2019,15.4
"FL",2019,15.4
"AK",2019,15.4
"IL",2019,15.4
"HI",2019,15.4
"NM",2013,15.4
"MT",2016,15.4
"NY",2022,15.4
"PA",2022,15.4
"DE",2017,15.5
"ID",2015,15.5
"CT",2013,15.5
"WI",2011,15.5
"TN",2017,15.6
"NC",2017,15.6
"CO",2011,15.6
"UT",2012,15.6
"VT",2011,15.6
"MN",2013,15.6
"MT",2011,15.7
"ID",2011,15.7
"SD",2012,15.7
"NM",2011,15.7
"CO",2012,15.7
"HI",2013,15.7
"NM",2020,15.8
"HI",2020,15.8
"NH",2016,15.8
"RI",2017,15.8
"DE",2012,15.8
"RI",2013,15.8
"CO",2013,15.8
"SD",2014,15.8
"IL",2013,15.8
"OH",2014,15.8
"NJ",2021,15.8
"CO",2022,15.8
"NH",2022,15.8
"NC",2015,15.9
"VA",2018,15.9
"HI",2017,15.9
"PA",2017,15.9
"GA",2019,15.9
"HI",2011,15.9
"PA",2016,15.9
"MA",2016,15.9
"HI",2015,16
"CT",2013,16
"CA",2012,16
"DE",2013,16
"GA",2015,16
"SC",2015,16
"VT",2013,16
"HI",2011,16
"WY",2016,16
"HI",2016,16
"MD",2021,16
"ID",2021,16
"PA",2022,16
"PA",2018,16.1
"CT",2011,16.1
"HI",2017,16.1
"HI",2013,16.1
"OH",2011,16.1
"NJ",2012,16.1
"KS",2011,16.1
"MN",2016,16.1
"HI",2016,16.1
"HI",2021,16.1
"CT",2017,16.2
"ID",2017,16.2
"MA",2012,16.2
"AZ",2012,16.2
"CO",2014,16.2
"SD",2015,16.2
"MN",2014,16.2
"NV",2021,16.2
"NJ",2018,16.3
"UT",2020,16.3
"SC",2011,16.3
"ND",2014,16.3
"UT",2019,16.3
"CO",2014,16.3
"AL",2011,16.3
"MD",2016,16.3
"NE",2021,16.3
"KS",2018,16.4
"WA",2016,16.4
"PA",2011,16.4
"TX",2017,16.4
"MI",2015,16.4
"MI",2013,16.5
"FL",2015,16.5
"MT",2014,16.5
"IA",2012,16.5
"VT",2012,16.5
"HI",2016,16.5
"WI",2021,16.5
"GA",2021,16.5
"FL",2018,16.6
"RI",2018,16.6
"AZ",2014,16.6
"NY",2019,16.6
"CO",2012,16.6
"NE",2012,16.6
"OH",2016,16.6
"HI",2021,16.6
"WI",2020,16.7
"HI",2012,16.7
"OH",2018,16.7
"NC",2018,16.7
"PA",2020,16.7
"ID",2020,16.7
"NY",2020,16.7
"RI",2020,16.7
"MN",2017,16.7
"WI",2014,16.7
"ND",2019,16.7
"ND",2015,16.7
"MI",2014,16.7
"CT",2011,16.7
"VA",2015,16.7
"UT",2021,16.7
"NH",2022,16.7
"IL",2018,16.8
"CA",2012,16.8
"VT",2014,16.8
"MA",2013,16.8
"ID",2013,16.8
"ME",2013,16.8
"NC",2021,16.8
"UT",2018,16.9
"MN",2020,16.9
"GA",2017,16.9
"WI",2012,16.9
"NC",2013,16.9
"HI",2011,16.9
"WY",2014,16.9
"NC",2014,16.9
"CO",2012,16.9
"MD",2011,16.9
"MD",2012,16.9
"SC",2016,16.9
"CO",2016,16.9
"NV",2016,16.9
"OR",2021,16.9
"HI",2020,17
"CO",2017,17
"LA",2011,17
"CA",2013,17
"GA",2014,17
"VT",2015,17
"MA",2014,17
"NH",2021,17
"DE",2021,17
"FL",2017,17.1
"MI",2017,17.1
"NH",2017,17.1
"HI",2015,17.1
"WY",2013,17.1
"HI",2013,17.1
"NM",2017,17.1
"FL",2019,17.1
"IL",2015,17.1
"OR",2011,17.1
"WY",2012,17.1
"NY",2013,17.1
"FL",2022,17.1
"HI",2015,17.2
"KY",2012,17.2
"NY",2015,17.2
"PA",2014,17.2
"CA",2014,17.2
"GA",2022,17.2
"NE",2016,17.2
"NV",2016,17.2
"GA",2016,17.3
"WA",2020,17.3
"HI",2017,17.3
"WA",2017,17.3
"SC",2014,17.3
"MI",2011,17.3
"MT",2019,17.3
"MA",2015,17.3
"OR",2019,17.3
"SD",2019,17.3
"HI",2012,17.3
"SD",2013,17.3
"CO",2015,17.3
"NE",2014,17.3
"MA",2011,17.3
"IL",2016,17.3
"HI",2018,17.4
"AZ",2011,17.4
"NV",2017,17.4
"NJ",2011,17.4
"HI",2012,17.4
"VT",2011,17.4
"CO",2015,17.4
"HI",2014,17.4
"HI",2014,17.4
"DE",2014,17.4
"KY",2015,17.4
"OR",2016,17.4
"MO",2021,17.4
"VA",2021,17.4
"GA",2018,17.5
"HI",2018,17.5
"CA",2011,17.5
"CO",2011,17.5
"AZ",2015,17.5
"FL",2019,17.5
"CO",2015,17.5
"ND",2013,17.5
"TX",2011,17.5
"MN",2021,17.5
"DE",2021,17.5
"NC",2011,17.6
"CA",2012,17.6
"NH",2015,17.6
"HI",2014,17.6
"NM",2016,17.6
"IN",2016,17.6
"CO",2018,17.7
"LA",2013,17.7
"MT",2012,17.7
"VA",2017,17.7
"NV",2019,17.7
"IA",2019,17.7
"NM",2012,17.7
"CA",2011,17.7
"MO",2016,17.7
"NC",2016,17.7
"ND",2016,17.7
"SC",2016,17.7
"AK",2014,17.8
"HI",2016,17.8
"HI",2017,17.8
"IA",2015,17.8
"OH",2013,17.8
"KY",2015,17.8
"CT",2012,17.8
"OH",2015,17.8
"MA",2013,17.8
"OR",2022,17.8
"RI",2014,17.9
"TN",2013,17.9
"SC",2013,17.9
"GA",2012,17.9
"OR",2017,17.9
"OR",2013,17.9
"MA",2014,17.9
"HI",2015,17.9
"UT",2012,17.9
"HI",2021,17.9
"VA",2022,17.9
"NY",2018,18
"NV",2020,18
"NE",2017,18
"NH",2013,18
"RI",2014,18
"CA",2019,18
"NY",2012,18
"CO",2013,18
"UT",2013,18
"NC",2014,18
"HI",2022,18
"MA",2016,18
"HI",2016,18
"ND",2021,18
"CA",2018,18.1
"MD",2018,18.1
"NV",2011,18.1
"ND",2012,18.1
"MI",2017,18.1
"CT",2019,18.1
"KS",2013,18.1
"IA",2013,18.1
"TN",2015,18.1
"VT",2012,18.1
"HI",2018,18.2
"VA",2016,18.2
"DE",2020,18.2
"SD",2020,18.2
"CT",2020,18.2
"CO",2020,18.2
"AZ",2017,18.2
"CO",2014,18.2
"DE",2015,18.2
"OH",2017,18.2
"HI",2012,18.2
"NC",2019,18.2
"NY",2011,18.2
"CO",2015,18.2
"NE",2011,18.2
"HI",2022,18.2
"UT",2022,18.2
"NJ",2012,18.3
"OK",2013,18.3
"VA",2011,18.3
"CO",2011,18.3
"OR",2019,18.3
"ME",2019,18.3
"FL",2019,18.3
"NM",2013,18.3
"VT",2014,18.3
"WA",2021,18.3
"MT",2022,18.3
"IA",2016,18.4
"DE",2018,18.4
"NE",2014,18.4
"NJ",2011,18.4
"MD",2017,18.4
"PA",2012,18.4
"IL",2017,18.4
"NY",2013,18.4
"AR",2011,18.4
"KY",2013,18.4
"VT",2021,18.4
"KY",2018,18.5
"MT",2015,18.5
"MO",2011,18.5
"AL",2012,18.5
"PA",2012,18.5
"OK",2019,18.5
"KY",2014,18.5
"AK",2015,18.5
"SC",2012,18.5
"NY",2016,18.5
"PA",2018,18.6
"TN",2014,18.6
"MA",2011,18.6
"CO",2013,18.6
"CT",2013,18.6
"SC",2012,18.6
"MA",2014,18.6
"NY",2014,18.6
"HI",2020,18.7
"HI",2020,18.7
"ME",2020,18.7
"CA",2020,18.7
"CT",2020,18.7
"NY",2017,18.7
"AZ",2011,18.7
"CO",2014,18.7
"CO",2015,18.7
"CO",2019,18.7
"HI",2013,18.7
"IL",2014,18.7
"ND",2011,18.7
"CO",2012,18.7
"CO",2013,18.7
"VT",2016,18.7
"DE",2022,18.7
"HI",2020,18.8
"VT",2017,18.8
"WA",2011,18.8
"CT",2015,18.8
"AK",2014,18.8
"HI",2019,18.8
"CO",2014,18.8
"HI",2015,18.8
"HI",2022,18.8
"MI",2018,18.9
"VT",2013,18.9
"MO",2014,18.9
"MI",2012,18.9
"OH",2017,18.9
"HI",2019,18.9
"ID",2014,18.9
"CO",2011,18.9
"UT",2011,18.9
"MT",2021,18.9
"MN",2018,19
"CO",2012,19
"NM",2012,19
"AL",2013,19
"MA",2017,19
"WA",2014,19
"TX",2013,19
"HI",2011,19
"MT",2011,19
"TX",2016,19
"NE",2021,19
"PA",2021,19
"HI",2018,19.1
"VT",2020,19.1
"MI",2020,19.1
"CO",2017,19.1
"WY",2017,19.1
"DE",2013,19.1
"HI",2013,19.1
"ME",2017,19.1
"AZ",2019,19.1
"TX",2019,19.1
"WY",2013,19.1
"NH",2014,19.1
"NC",2011,19.1
"NJ",2013,19.1
"NM",2014,19.1
"MN",2013,19.1
"CA",2015,19.1
"TX",2014,19.1
"CO",2016,19.1
"SC",2021,19.1
"MN",2022,19.1
"MO",2020,19.2
"NJ",2017,19.2
"AK",2015,19.2
"ID",2019,19.2
"TN",2015,19.2
"AZ",2013,19.2
"HI",2011,19.2
"NV",2012,19.2
"IN",2012,19.2
"UT",2011,19.2
"NV",2016,19.2
"VT",2018,19.3
"AL",2018,19.3
"SD",2017,19.3
"MA",2015,19.3
"CO",2012,19.3
"CT",2015,19.3
"MA",2013,19.3
"CO",2011,19.3
"AR",2011,19.3
"RI",2015,19.3
"ME",2014,19.3
"VA",2012,19.3
"IL",2011,19.3
"MA",2011,19.3
"RI",2011,19.3
"OR",2012,19.3
"DE",2016,19.3
"IL",2021,19.3
"SD",2022,19.3
"NH",2018,19.4
"VT",2018,19.4
"DE",2020,19.4
"LA",2014,19.4
"NM",2011,19.4
"MO",2017,19.4
"NV",2011,19.4
"CO",2014,19.4
"MA",2016,19.4
"CO",2016,19.4
"CT",2016,19.4
"GA",2021,19.4
"SC",2018,19.5
"HI",2017,19.5
"NY",2012,19.5
"OH",2015,19.5
"NY",2012,19.5
"CO",2011,19.5
"FL",2014,19.5
"MN",2019,19.5
"VT",2019,19.5
"CA",2013,19.5
"MA",2012,19.5
"MA",2014,19.5
"WY",2011,19.5
"VT",2016,19.5
"CA",2021,19.5
"GA",2022,19.5
"NE",2020,19.6
"WY",2020,19.6
"CA",2020,19.6
"CA",2015,19.6
"LA",2012,19.6
"CO",2013,19.6
"AK",2013,19.6
"AZ",2011,19.6
"HI",2019,19.6
"MN",2013,19.6
"NE",2019,19.6
"WY",2014,19.6
"IN",2011,19.6
"MA",2019,19.6
"NH",2011,19.6
"MN",2012,19.6
"KS",2012,19.6
"CO",2012,19.6
"CO",2012,19.6
"WI",2011,19.6
"CA",2021,19.6
"CT",2022,19.6
"MN",2022,19.6
"VA",2020,19.7
"AZ",2011,19.7
"CO",2017,19.7
"HI",2015,19.7
"IN",2013,19.7
"ME",2012,19.7
"OK",2011,19.7
"WV",2011,19.7
"MA",2011,19.7
"CT",2014,19.7
"HI",2012,19.7
"MD",2021,19.7
"HI",2022,19.7
"MI",2022,19.7
"VT",2022,19.7
"GA",2018,19.8
"NV",2020,19.8
"WI",2020,19.8
"OR",2020,19.8
"WA",2017,19.8
"HI",2017,19.8
"NJ",2015,19.8
"MA",2019,19.8
"MT",2015,19.8
"NV",2012,19.8
"VA",2012,19.8
"CO",2012,19.8
"GA",2013,19.8
"HI",2013,19.8
"AL",2022,19.8
"AK",2011,19.8
"KS",2016,19.8
"ME",2018,19.9
"NY",2020,19.9
"CO",2014,19.9
"NV",2017,19.9
"HI",2019,19.9
"TX",2019,19.9
"IN",2014,19.9
"WA",2019,19.9
"MS",2012,19.9
"HI",2011,19.9
"NH",2015,19.9
"NM",2011,19.9
"MS",2016,19.9
"IL",2016,19.9
"IL",2022,19.9
"OH",2018,20
"ND",2012,20
"MO",2013,20
"MI",2019,20
"AZ",2019,20
"VT",2011,20
"IL",2012,20
"VA",2014,20
"CO",2015,20
"CA",2016,20
"CT",2021,20
"WI",2022,20
"RI",2016,20.1
"CO",2018,20.1
"NJ",2018,20.1
"MN",2018,20.1
"MA",2016,20.1
"IL",2020,20.1
"MA",2020,20.1
"NY",2015,20.1
"SC",2014,20.1
"IA",2011,20.1
"FL",2013,20.1
"AZ",2019,20.1
"AK",2012,20.1
"NC",2012,20.1
"NC",2015,20.1
"MN",2013,20.1
"MN",2011,20.1
"CT",2014,20.1
"UT",2014,20.1
"WA",2015,20.1
"WA",2013,20.1
"CA",2012,20.1
"NY",2011,20.1
"RI",2021,20.1
"NY",2022,20.1
"NV",2018,20.2
"CO",2015,20.2
"CO",2015,20.2
"AK",2012,20.2
"MT",2011,20.2
"OR",2017,20.2
"RI",2012,20.2
"VA",2019,20.2
"FL",2013,20.2
"OR",2014,20.2
"RI",2015,20.2
"MA",2012,20.2
"VT",2015,20.2
"CO",2015,20.2
"RI",2014,20.2
"ME",2011,20.2
"UT",2011,20.2
"CO",2011,20.2
"FL",2014,20.2
"WA",2012,20.2
"WA",2016,20.2
"NJ",2016,20.2
"CA",2022,20.2
"CO",2022,20.2
"NE",2018,20.3
"NY",2020,20.3
"KY",2017,20.3
"FL",2011,20.3
"RI",2017,20.3
"NY",2017,20.3
"MD",2013,20.3
"CO",2011,20.3
"OR",2015,20.3
"NH",2015,20.3
"AR",2013,20.3
"HI",2012,20.3
"SC",2015,20.3
"KY",2016,20.3
"VT",2018,20.4
"WV",2020,20.4
"CA",2017,20.4
"VT",2015,20.4
"NJ",2015,20.4
"WY",2015,20.4
"NM",2012,20.4
"AL",2014,20.4
"WY",2011,20.4
"OR",2016,20.4
"ME",2018,20.5
"WA",2020,20.5
"AZ",2020,20.5
"GA",2020,20.5
"CT",2017,20.5
"RI",2014,20.5
"CO",2014,20.5
"CT",2015,20.5
"DE",2012,20.5
"IN",2017,20.5
"WY",2011,20.5
"NM",2013,20.5
"WI",2019,20.5
"MA",2019,20.5
"MT",2015,20.5
"WY",2012,20.5
"MT",2014,20.5
"CO",2012,20.5
"MT",2013,20.5
"NH",2014,20.5
"SD",2014,20.5
"NC",2021,20.5
"CO",2021,20.5
"AR",2021,20.5
"HI",2018,20.6
"CO",2016,20.6
"MO",2018,20.6
"NJ",2020,20.6
"MT",2017,20.6
"MA",2013,20.6
"HI",2013,20.6
"WV",2014,20.6
"WY",2019,20.6
"CO",2019,20.6
"NV",2014,20.6
"MN",2014,20.6
"NV",2015,20.6
"ID",2016,20.6
"WA",2020,20.7
"NY",2017,20.7
"AL",2017,20.7
"WV",2015,20.7
"CT",2011,20.7
"CO",2011,20.7
"AZ",2011,20.7
"NY",2013,20.7
"CA",2019,20.7
"VT",2012,20.7
"RI",2019,20.7
"NH",2012,20.7
"NY",2019,20.7
"ME",2012,20.7
"MT",2012,20.7
"AR",2015,20.7
"WY",2015,20.7
"NV",2012,20.7
"NJ",2014,20.7
"CO",2014,20.7
"ND",2016,20.7
"ME",2016,20.7
"AK",2021,20.7
"AZ",2021,20.7
"PA",2022,20.7
"TX",2018,20.8
"NV",2020,20.8
"NC",2020,20.8
"CT",2020,20.8
"UT",2013,20.8
"NH",2012,20.8
"HI",2013,20.8
"NV",2019,20.8
"MD",2019,20.8
"NM",2014,20.8
"OH",2019,20.8
"CO",2013,20.8
"NY",2014,20.8
"CO",2013,20.8
"AZ",2011,20.8
"VT",2016,20.8
"CO",2016,20.8
"NY",2021,20.8
"SD",2021,20.8
"CA",2018,20.9
"IA",2018,20.9
"MA",2018,20.9
"MT",2015,20.9
"CA",2014,20.9
"NV",2015,20.9
"VA",2012,20.9
"FL",2012,20.9
"NH",2015,20.9
"NY",2011,20.9
"NJ",2012,20.9
"NY",2015,20.9
"NY",2016,20.9
"TX",2022,20.9
"AK",2020,21
"MA",2020,21
"MA",2020,21
"LA",2017,21
"MN",2015,21
"NH",2014,21
"HI",2014,21
"AZ",2015,21
"NV",2013,21
"PA",2013,21
"FL",2012,21
"NM",2012,21
"NJ",2013,21
"NJ",2011,21
"HI",2011,21
"NJ",2016,21
"CO",2016,21
"NV",2021,21
"SC",2021,21
"VT",2018,21.1
"ND",2018,21.1
"ID",2020,21.1
"NC",2020,21.1
"MT",2011,21.1
"VT",2012,21.1
"CO",2012,21.1
"FL",2011,21.1
"CO",2011,21.1
"NY",2013,21.1
"AK",2012,21.1
"PA",2014,21.1
"NM",2011,21.1
"OR",2012,21.1
"MD",2012,21.1
"NM",2015,21.1
"CA",2012,21.1
"MA",2016,21.1
"ME",2021,21.1
"NC",2022,21.1
"WA",2022,21.1
"WA",2018,21.2
"AK",2018,21.2
"SC",2020,21.2
"NV",2020,21.2
"VT",2017,21.2
"AZ",2011,21.2
